SP_ORG_Items 0.11 CP-B.6 — Static Validation
TOTAL=501 PASS=501 FAIL=0

[PASS] LEX ServoPeregrino_Organizador_Items/config.cpp
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_acquireApplicationLock.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_captureContainerSnapshot.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_chooseApplicationTarget.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_createApplicationPlan.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_createClearApplicationPlan.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_createReplaceApplicationPlan.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_createWholeKitApplicationPlan.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_executeApplicationPlan.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_executeContentOperation.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_executeDraftApplication.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_executeSavedKitApplication.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_executeSingleOperation.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_getApplicationStatus.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_getDraftApplicationSource.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_getEntryUnitMass.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_getSavedKitApplicationSource.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_mutateContainerEntry.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_releaseApplicationLock.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_resolveApplicationTarget.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_restoreContainerSnapshot.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_rollbackApplication.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_simulateApplicationEntries.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/application/fn_validateApplicationPlan.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_buildCatalog.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_classifyContentClass.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_copyCatalogItem.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_createCatalogItemFromConfig.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_deriveCatalogCategory.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_filterCatalog.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_getCatalog.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_getCatalogCategories.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_getCatalogStatus.sqf
[PASS] LEX ServoPeregrino_Organizador_Items/functions/catalog/fn_invalidateCatalogCache.sqf
