caller,callee
ServoPeregrino_Organizador_Items_fnc_acquireApplicationLock,ServoPeregrino_Organizador_Nexus_fnc_createResult
ServoPeregrino_Organizador_Items_fnc_addCatalogItemToDraft,ServoPeregrino_Organizador_Items_fnc_addEntryToDraft
ServoPeregrino_Organizador_Items_fnc_addCatalogItemToDraft,ServoPeregrino_Organizador_Items_fnc_createItemEntry
ServoPeregrino_Organizador_Items_fnc_addCatalogItemToDraft,ServoPeregrino_Organizador_Items_fnc_resolveCatalogItem
ServoPeregrino_Organizador_Items_fnc_addCatalogItemToDraft,ServoPeregrino_Organizador_Nexus_fnc_createResult
ServoPeregrino_Organizador_Items_fnc_addEntryToDraft,ServoPeregrino_Organizador_Items_fnc_deepCopy
ServoPeregrino_Organizador_Items_fnc_addEntryToDraft,ServoPeregrino_Organizador_Items_fnc_normalizeItemEntries
ServoPeregrino_Organizador_Items_fnc_addEntryToDraft,ServoPeregrino_Organizador_Items_fnc_validateItemEntrySemantic
ServoPeregrino_Organizador_Items_fnc_addEntryToDraft,ServoPeregrino_Organizador_Nexus_fnc_createResult
ServoPeregrino_Organizador_Items_fnc_analyzeContainerCargo,ServoPeregrino_Organizador_Items_fnc_classifyCargoClass
ServoPeregrino_Organizador_Items_fnc_analyzeContainerCargo,ServoPeregrino_Organizador_Items_fnc_createItemEntry
ServoPeregrino_Organizador_Items_fnc_analyzeContainerCargo,ServoPeregrino_Organizador_Items_fnc_normalizeItemEntries
ServoPeregrino_Organizador_Items_fnc_analyzeContainerCargo,ServoPeregrino_Organizador_Nexus_fnc_createResult
ServoPeregrino_Organizador_Items_fnc_buildCatalog,ServoPeregrino_Organizador_Items_fnc_createCatalogItemFromConfig
ServoPeregrino_Organizador_Items_fnc_buildCatalog,ServoPeregrino_Organizador_Nexus_fnc_createResult
ServoPeregrino_Organizador_Items_fnc_buildCatalog,ServoPeregrino_Organizador_Nexus_fnc_log
ServoPeregrino_Organizador_Items_fnc_buildRepositoryState,ServoPeregrino_Organizador_Items_fnc_deepCopy
ServoPeregrino_Organizador_Items_fnc_buildRepositoryState,ServoPeregrino_Organizador_Items_fnc_validateStorageSemantic
ServoPeregrino_Organizador_Items_fnc_buildRepositoryState,ServoPeregrino_Organizador_Nexus_fnc_createResult
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_capturePlayerContainer
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getCatalogStatus
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getDraftState
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getKit
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getPublicKit
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getUICatalogWindow
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getUIEntryAwareness
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getUIItemKitAwareness
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getUIPhysicalReadiness
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getUIState
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_getUITargetLabel
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_listKits
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_listPublicKits
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Items_fnc_resolveUIItemMetadata
ServoPeregrino_Organizador_Items_fnc_buildUIViewModel,ServoPeregrino_Organizador_Nexus_fnc_createResult
ServoPeregrino_Organizador_Items_fnc_cancelUIDrag,ServoPeregrino_Organizador_Items_fnc_getUIPhysicalReadiness
ServoPeregrino_Organizador_Items_fnc_cancelUIDrag,ServoPeregrino_Organizador_Items_fnc_getUITargetLabel
ServoPeregrino_Organizador_Items_fnc_cancelUIDrag,ServoPeregrino_Organizador_Items_fnc_updateUIDragVisualProxy
ServoPeregrino_Organizador_Items_fnc_captureContainerContent,ServoPeregrino_Organizador_Items_fnc_analyzeContainerCargo
ServoPeregrino_Organizador_Items_fnc_captureContainerContent,ServoPeregrino_Organizador_Items_fnc_deepCopy
