addon,category,function,symbol,path,params_detected,bytes,references
Nexus,capabilities,getCapability,ServoPeregrino_Organizador_Nexus_fnc_getCapability,functions/capabilities/fn_getCapability.sqf,"[""_capabilityId"", """", [""""]]",679,ServoPeregrino_Organizador_Nexus_fnc_createResult
Nexus,capabilities,hasCapability,ServoPeregrino_Organizador_Nexus_fnc_hasCapability,functions/capabilities/fn_hasCapability.sqf,"[""_capabilityId"", """", [""""]], [""_minimumVersion"", 1, [0]]",405,
Nexus,capabilities,listCapabilities,ServoPeregrino_Organizador_Nexus_fnc_listCapabilities,functions/capabilities/fn_listCapabilities.sqf,,492,ServoPeregrino_Organizador_Nexus_fnc_createResult
Nexus,capabilities,registerCapability,ServoPeregrino_Organizador_Nexus_fnc_registerCapability,functions/capabilities/fn_registerCapability.sqf,"[""_capabilityId"", """", [""""]], [""_version"", 1, [0]], [""_provider"", """", [""""]], [""_metadata"", createHashMap, [createHashMap]]",2223,ServoPeregrino_Organizador_Nexus_fnc_createResult
Nexus,capabilities,unregisterCapability,ServoPeregrino_Organizador_Nexus_fnc_unregisterCapability,functions/capabilities/fn_unregisterCapability.sqf,"[""_capabilityId"", """", [""""]], [""_provider"", """", [""""]]",1074,ServoPeregrino_Organizador_Nexus_fnc_createResult
Nexus,contracts,createContract,ServoPeregrino_Organizador_Nexus_fnc_createContract,functions/contracts/fn_createContract.sqf,"[""_contractId"", """", [""""]], [""_version"", 1, [0]], [""_source"", """", [""""]], [""_payload"", createHashMap, [createHashMap]], [""_correlationId"", """", [""""]]",656,
Nexus,contracts,registerContractDefinition,ServoPeregrino_Organizador_Nexus_fnc_registerContractDefinition,functions/contracts/fn_registerContractDefinition.sqf,"[""_contractId"", """", [""""]], [""_version"", 1, [0]], [""_provider"", """", [""""]], [""_requiredPayloadKeys"", [], [[]]], [""_metadata"", createHashMap, [createHashMap]]",2758,ServoPeregrino_Organizador_Nexus_fnc_createResult
Nexus,contracts,validateContract,ServoPeregrino_Organizador_Nexus_fnc_validateContract,functions/contracts/fn_validateContract.sqf,"[""_contract"", createHashMap]",2252,ServoPeregrino_Organizador_Nexus_fnc_createResult
Nexus,diagnostics,createDiagnostic,ServoPeregrino_Organizador_Nexus_fnc_createDiagnostic,functions/diagnostics/fn_createDiagnostic.sqf,"[""_severity"", ""INFO"", [""""]], [""_code"", ""UNSPECIFIED"", [""""]], [""_message"", """", [""""]], [""_context"", createHashMap, [createHashMap]]",519,
Nexus,diagnostics,log,ServoPeregrino_Organizador_Nexus_fnc_log,functions/diagnostics/fn_log.sqf,"[""_component"", ""NEXUS"", [""""]], [""_level"", ""INFO"", [""""]], [""_message"", """", [""""]], [""_context"", createHashMap, [createHashMap]]",839,
